fila,replica,semilla,nAnts,alpha,beta,rho,gamma,tauMax,fitnessExp,maletasNoRuteadas,usoVuelos,usoAeropuertos,duracionHoras,tiempoMs
6,5,46,8,1,4,0.05,0.01,25,60349.139909,0,4.460380,5.397927,5049.083333,2950
6,6,47,8,1,4,0.05,0.01,25,60196.767485,0,4.470380,5.415221,5031.116667,2941
6,7,48,8,1,4,0.05,0.01,25,60400.340797,0,4.483615,5.418392,5049.833333,2933
6,8,49,8,1,4,0.05,0.01,25,60340.684427,0,4.473583,5.408435,5045.866667,2934
6,9,50,8,1,4,0.05,0.01,25,60484.049338,0,4.470396,5.405153,5060.850000,2948
6,10,51,8,1,4,0.05,0.01,25,60565.386786,0,4.468047,5.396839,5070.050000,2950
7,1,42,8,2,1,0.15,0.1,25,60352.369042,0,4.490809,5.422894,5043.866667,2958
7,2,43,8,2,1,0.15,0.1,25,60147.036932,0,4.458942,5.396262,5029.183333,2967
7,3,44,8,2,1,0.15,0.1,25,60207.436838,0,4.458860,5.393910,5035.466667,2938
7,4,45,8,2,1,0.15,0.1,25,60471.462302,0,4.497406,5.430723,5054.333333,2967
7,5,46,8,2,1,0.15,0.1,25,60239.219648,0,4.476532,5.410688,5035.200000,3004
7,6,47,8,2,1,0.15,0.1,25,60542.198568,0,4.488019,5.423180,5063.100000,2960
7,7,48,8,2,1,0.15,0.1,25,60481.587521,0,4.470650,5.405105,5060.583333,2971
7,8,49,8,2,1,0.15,0.1,25,60410.768935,0,4.457520,5.397249,5055.600000,2966
7,9,50,8,2,1,0.15,0.1,25,60197.801650,0,4.450727,5.387908,5035.916667,2960
7,10,51,8,2,1,0.15,0.1,25,60204.255058,0,4.456552,5.390703,5035.700000,2965
8,1,42,8,2,2,0.3,0.01,50,60388.965656,0,4.460923,5.398542,5052.950000,2946
8,2,43,8,2,2,0.3,0.01,50,60433.705160,0,4.472034,5.406004,5055.566667,2971
8,3,44,8,2,2,0.3,0.01,50,60031.092284,0,4.441830,5.385596,5020.366667,2946
8,4,45,8,2,2,0.3,0.01,50,60297.964362,0,4.475041,5.412757,5041.016667,2965
8,5,46,8,2,2,0.3,0.01,50,60191.560785,0,4.477798,5.412596,5030.116667,2962
8,6,47,8,2,2,0.3,0.01,50,60357.444546,0,4.479710,5.416901,5046.083333,2927
8,7,48,8,2,2,0.3,0.01,50,60418.171647,0,4.468562,5.407943,5054.166667,2932
8,8,49,8,2,2,0.3,0.01,50,60197.113965,0,4.478513,5.415101,5030.350000,2958
8,9,50,8,2,2,0.3,0.01,50,60261.990311,0,4.437565,5.381592,5044.283333,2971
8,10,51,8,2,2,0.3,0.01,50,60345.595552,0,4.464612,5.399484,5048.150000,2948
9,1,42,8,2,4,0.05,0.05,10,60480.854628,0,4.472271,5.410750,5059.783333,2935
9,2,43,8,2,4,0.05,0.05,10,60398.846962,0,4.476176,5.413004,5050.966667,2944
9,3,44,8,2,4,0.05,0.05,10,60501.126577,0,4.488599,5.421028,5059.150000,2925
9,4,45,8,2,4,0.05,0.05,10,60127.943552,0,4.453194,5.389916,5028.483333,2990
9,5,46,8,2,4,0.05,0.05,10,60387.989105,0,4.460772,5.397717,5052.950000,3036
9,6,47,8,2,4,0.05,0.05,10,60196.767485,0,4.470380,5.415221,5031.116667,3036
9,7,48,8,2,4,0.05,0.05,10,60319.450435,0,4.475654,5.411464,5043.233333,2995
9,8,49,8,2,4,0.05,0.05,10,60340.684427,0,4.473583,5.408435,5045.866667,2941
9,9,50,8,2,4,0.05,0.05,10,60484.049338,0,4.470396,5.405153,5060.850000,2938
9,10,51,8,2,4,0.05,0.05,10,60411.171393,0,4.468264,5.405074,5053.783333,2920
10,1,42,16,0.5,1,0.3,0.1,25,60352.369042,0,4.490809,5.422894,5043.866667,2981
10,2,43,16,0.5,1,0.3,0.1,25,60130.332350,0,4.457222,5.397777,5027.533333,2954
10,3,44,16,0.5,1,0.3,0.1,25,60222.600783,0,4.466450,5.400151,5035.600000,2947
10,4,45,16,0.5,1,0.3,0.1,25,60471.462302,0,4.497406,5.430723,5054.333333,2957
10,5,46,16,0.5,1,0.3,0.1,25,60271.606755,0,4.482480,5.415461,5037.366667,2936
10,6,47,16,0.5,1,0.3,0.1,25,60542.198568,0,4.488019,5.423180,5063.100000,2956
10,7,48,16,0.5,1,0.3,0.1,25,60491.065696,0,4.470997,5.405402,5061.466667,2957
10,8,49,16,0.5,1,0.3,0.1,25,60410.768935,0,4.457520,5.397249,5055.600000,2971
10,9,50,16,0.5,1,0.3,0.1,25,60197.801650,0,4.450727,5.387908,5035.916667,2953
10,10,51,16,0.5,1,0.3,0.1,25,60188.705455,0,4.457455,5.390584,5034.066667,2956
11,1,42,16,0.5,2,0.05,0.01,50,60596.366716,0,4.472141,5.412726,5071.150000,2947
11,2,43,16,0.5,2,0.05,0.01,50,60243.948971,0,4.479085,5.414531,5035.033333,2944
11,3,44,16,0.5,2,0.05,0.01,50,60675.121851,0,4.469555,5.405400,5080.016667,2998
11,4,45,16,0.5,2,0.05,0.01,50,60376.545439,0,4.465613,5.403933,5050.700000,2960
11,5,46,16,0.5,2,0.05,0.01,50,60405.975670,0,4.452459,5.396183,5055.733333,2961
11,6,47,16,0.5,2,0.05,0.01,50,60499.748290,0,4.460556,5.398026,5064.116667,2958
11,7,48,16,0.5,2,0.05,0.01,50,60490.967209,0,4.487569,5.419898,5058.350000,2921
11,8,49,16,0.5,2,0.05,0.01,50,60197.113965,0,4.478513,5.415101,5030.350000,2945
11,9,50,16,0.5,2,0.05,0.01,50,60141.830092,0,4.475972,5.413858,5025.200000,2960
11,10,51,16,0.5,2,0.05,0.01,50,60238.198360,0,4.453644,5.393221,5039.133333,2948
12,1,42,16,0.5,4,0.15,0.05,10,60436.014995,0,4.474918,5.413763,5054.733333,2961
12,2,43,16,0.5,4,0.15,0.05,10,60398.846962,0,4.476176,5.413004,5050.966667,2941
12,3,44,16,0.5,4,0.15,0.05,10,60501.126577,0,4.488599,5.421028,5059.150000,2941
12,4,45,16,0.5,4,0.15,0.05,10,60127.943552,0,4.453194,5.389916,5028.483333,2987
