fila,replica,semilla,tamanioPoblacion,probCruce,probMutacion,torneoK,elites,pesoGreedySolomon,fitnessExp,maletasNoRuteadas,usoVuelos,usoAeropuertos,duracionHoras,tiempoMs
6,4,45,10,0.95,0.25,2,1,0.6,62253.233511,0,4.032022,5.063378,5315.783333,11536
6,5,46,10,0.95,0.25,2,1,0.6,62274.467732,0,4.026495,5.060306,5318.766667,11981
6,6,47,10,0.95,0.25,2,1,0.6,62185.796120,0,4.026450,5.060013,5309.933333,11475
6,7,48,10,0.95,0.25,2,1,0.6,61937.894684,0,4.003521,5.039373,5289.500000,11267
6,8,49,10,0.95,0.25,2,1,0.6,62537.498581,0,4.038901,5.069264,5342.933333,11401
6,9,50,10,0.95,0.25,2,1,0.6,62241.340612,0,4.026058,5.058616,5315.666667,11500
6,10,51,10,0.95,0.25,2,1,0.6,62635.965041,0,4.067794,5.094504,5347.366667,11400
7,1,42,15,0.7,0.15,2,4,0.6,62769.009508,0,4.069060,5.093282,5360.666667,13441
7,2,43,15,0.7,0.15,2,4,0.6,62901.911992,0,4.067312,5.091100,5374.350000,15220
7,3,44,15,0.7,0.15,2,4,0.6,62441.741991,0,4.069289,5.087286,5328.516667,13587
7,4,45,15,0.7,0.15,2,4,0.6,62984.071404,0,4.072316,5.093089,5381.866667,13617
7,5,46,15,0.7,0.15,2,4,0.6,62695.055629,0,4.049739,5.074484,5357.083333,13883
7,6,47,15,0.7,0.15,2,4,0.6,62188.828886,0,4.017014,5.048315,5312.350000,13796
7,7,48,15,0.7,0.15,2,4,0.6,62676.759632,0,4.055886,5.081207,5353.966667,14855
7,8,49,15,0.7,0.15,2,4,0.6,62692.641154,0,4.066712,5.088430,5353.750000,14177
7,9,50,15,0.7,0.15,2,4,0.6,62577.310526,0,4.048591,5.079553,5344.916667,13568
7,10,51,15,0.7,0.15,2,4,0.6,62511.724484,0,4.029444,5.063613,5341.866667,13619
8,1,42,15,0.85,0.25,3,1,0.8,62197.744812,0,3.995221,5.032858,5316.966667,17633
8,2,43,15,0.85,0.25,3,1,0.8,61739.328488,0,3.966687,5.014308,5275.833333,17817
8,3,44,15,0.85,0.25,3,1,0.8,62201.153132,0,3.973292,5.022361,5320.550000,17906
8,4,45,15,0.85,0.25,3,1,0.8,61873.061995,0,3.970159,5.018236,5288.466667,17844
8,5,46,15,0.85,0.25,3,1,0.8,62034.208846,0,3.975976,5.019066,5303.916667,17721
8,6,47,15,0.85,0.25,3,1,0.8,61323.084857,0,3.959984,5.008601,5235.450000,17774
8,7,48,15,0.85,0.25,3,1,0.8,62110.995263,0,3.995829,5.035666,5307.950000,17742
8,8,49,15,0.85,0.25,3,1,0.8,62072.357050,0,3.977541,5.016650,5307.816667,17671
8,9,50,15,0.85,0.25,3,1,0.8,62075.797475,0,4.001364,5.039600,5303.483333,17688
